prestashop_product_id,shobi_code,inspired_by,identity_status,evidence_note
1123,220-CRD,Virgin Island Water,AMBIGUOUS,Virgin Island Water / Creed: Fragrantica IDs 899 and 111515 represent same-name releases; Shobi does not specify release.
1236,343-TMFO,CAFÉ ROSE,AMBIGUOUS,Cafe Rose / Tom Ford: Fragrantica IDs 15913 and 83771 (2023) are both plausible; Shobi does not specify release.
1256,372-TMFO,VANILLE FATALE,AMBIGUOUS,Vanille Fatale / Tom Ford: Fragrantica IDs 48029 and 88659 (2024) are both plausible; Shobi does not specify release.
1408,113-DRC,OUD ISPAHAN,AMBIGUOUS,Oud Ispahan / Dior: Fragrantica IDs 15231 and 48384 are both plausible same-name records; Shobi does not specify version.
1781,408-BAT,WARM VANILLA SUGAR,AMBIGUOUS,Warm Vanilla Sugar / Bath & Body Works: Fragrantica IDs 3545 and 67700 share the same name; Shobi does not specify release.
2059,283-JOM,Poppy & Barley Jo Malone,AMBIGUOUS,Poppy & Barley / Jo Malone London: Fragrantica IDs 48316 and 56152 share the same name; Shobi does not specify release.
2302,1511-KIL,FORBIDDEN GAMES - KILIAN,AMBIGUOUS,Forbidden Games / Kilian: Fragrantica IDs 15925 and 125776 (2026) are both plausible; Shobi does not specify release.
2368,1637-CRD,Love in Black,AMBIGUOUS,Love in Black / Creed: Fragrantica IDs 4261 and 101279 (2024) are both plausible; Shobi does not specify release.
2738,212-CRD,Royal Mayfair,AMBIGUOUS,Royal Mayfair / Creed: Fragrantica IDs 31562 and 99603 (2024) are both plausible; Shobi does not specify release.
4392,2607-TMU,Angel Eau Croisière,AMBIGUOUS,Angel Eau Croisiere / Mugler: Fragrantica IDs 53351 and 58960 (2020) are both plausible; Shobi does not specify year.
4479,2622-PHL,Vanilla Skin Phlur,AMBIGUOUS,Vanilla Skin / Phlur: Fragrantica IDs 87258 and 95817 share the same base identity; Shobi does not specify release.
