shobi_code,inspired_by,resolution,evidence,note
2701-DIP,Cafe Verlet,NON_PERSONAL_FRAGRANCE,https://verlet.fr/en/blogs/news/verlet-x-diptyque,"Official Verlet x Diptyque collaboration identifies Cafe as a scented candle; no personal-perfume Fragrantica ID should be forced."
2586-DIP,Biscuit DIP,NON_PERSONAL_FRAGRANCE,https://verlet.fr/en/blogs/news/verlet-x-diptyque,"Official Verlet x Diptyque collaboration identifies Biscuit as a scented candle; no personal-perfume Fragrantica ID should be forced."
230-DIP,OPOPANAX,NON_PERSONAL_FRAGRANCE,https://www.fragrantica.com/board/viewtopic.php?id=238885,"Fragrantica discussion explicitly identifies Diptyque Opopanax as a candle/home scent."
228-DIP,FEUILLE DE LAVANDE,NON_PERSONAL_FRAGRANCE,https://www.fragrantica.com/board/viewtopic.php?id=247022,"Fragrantica candle/home-fragrance discussion lists Diptyque Feuille de Lavande among candles."
227-DIP,FEU DE BOIS / WOOD FIRE,NON_PERSONAL_FRAGRANCE,https://www.fragrantica.com/board/viewtopic.php?id=84835,"Fragrantica discussion explicitly states Feu de Bois exists as candle/home fragrance rather than personal perfume."
223-DIP,BAIES,NON_PERSONAL_FRAGRANCE,https://www.fragrantica.com/board/viewtopic.php?id=293898,"Fragrantica discussion identifies Baies as a Diptyque candle; L'Ombre Dans L'Eau is similar but must not be substituted."
222-DIP,AMBRE,NON_PERSONAL_FRAGRANCE,https://leparfum.com.gr/en/elegants-fragrances/222-dip-el,"Shobi's own source explicitly describes 222-DIP AMBRE as Home fragrance oil; Diptyque also sells Ambre as a candle. Do not assign a personal-perfume Fragrantica ID."
1748-BYR,Marijuana,INVALID_BRAND_REFERENCE,https://www.fragrantica.com/news/How-They-Counterfeit-Niche-Perfumes-11278.html,"Fragrantica investigated Marijuana Byredo and reports that it has nothing to do with Byredo and is a counterfeit-market product. Do not assign a Byredo Fragrantica ID."
564-DOL,SEXY CHOCLATE,INVALID_BRAND_REFERENCE,https://www.fragrantica.com/board/viewtopic.php?id=10627,"Fragrantica community documentation going back to 2010 states Dolce & Gabbana never had a perfume named Sexy Chocolate; later discussions identify circulating bottles as fake/counterfeit. Do not assign a D&G ID."
130-LEL,SANTAL 26 - LE LABO,NON_PERSONAL_FRAGRANCE,https://www.lelabofragrances.com/santal-26-33.html,"Official Le Labo product is SANTAL 26 Classic Candle/Home Fragrance. It must not be converted to Santal 33 or another personal perfume."
381-YAN,fresh cut roses yankee candles dupe,NON_PERSONAL_FRAGRANCE,https://www.yankeecandle.it/yankee-candle/acquista-per/acquista-per-nome-della-fragranza-a-z/fresh-cut-roses/,"Official Yankee Candle page confirms Fresh Cut Roses is sold as candles/home fragrance."
379-YAN,clean cotton yankee candles,NON_PERSONAL_FRAGRANCE,https://www.yankeecandle.it/yankee-candle/candele/per-tipo/candele-original/candela-clean-cotton/SAP_1010728E.html,"Official Yankee Candle page confirms Clean Cotton as a candle/home fragrance."
1550-YAN,home sweet home yankee arwmata_xvrou,NON_PERSONAL_FRAGRANCE,https://www.yankeecandle.it/yankee-candle/candele/per-tipo/candele-original/candele-grandi-original/candela-home-sweet-home/SAP_11597E.html,"Official Yankee Candle page confirms Home Sweet Home as a candle/home fragrance."
383-YAN,wedding day yankee,NON_PERSONAL_FRAGRANCE,https://www.geurkaarsenwebshop.nl/product-tag/yankee-candle-wedding-day/,"Legacy retailer documents Yankee Candle Wedding Day in Large Jar, Medium Jar, Small Jar, tea lights, votive and tart formats; not a personal perfume."
382-YAN,pomegranate cider yankee candles,NON_PERSONAL_FRAGRANCE,https://www.ebay.com/p/1101262595,"Legacy Yankee Candle Pomegranate Cider is documented as a retired 22 oz jar candle; no personal-perfume ID should be forced."
380-YAN,fall festival yankee candles smells,NON_PERSONAL_FRAGRANCE,https://www.ebay.co.uk/itm/366537224116,"Legacy Yankee Candle Fall Festival is documented as a large 22 oz jar candle; no personal-perfume ID should be forced."
289-JOM,SWEET ALMON & MACARRON - JO MALONE,NON_PERSONAL_FRAGRANCE,https://www.jomalone.com/product/25970/24265/home/candles/sweet-almond-macaroon-deluxe-candle,"Official Jo Malone product is Sweet Almond & Macaroon Deluxe Candle, not a Cologne."
261-JOM,INCENSE & EMBERS - JO MALONE,NON_PERSONAL_FRAGRANCE,https://www.johnlewis.com/jo-malone-london-incense-embers-scented-candle-200g/p1113258,"Retail documentation identifies Jo Malone London Incense & Embers specifically as a 200g scented candle/home fragrance."
258-JOM,GREEN TOMATO LEAF - JO MALONE,NON_PERSONAL_PRODUCT,https://www.jomalone.com/veggies-collection/tomato-scents,"Jo Malone tomato collection uses Tomato Leaf/Green Tomato accords in home and bath products rather than a standalone Cologne matching this Shobi reference."
314-MOL,ziao jao molton brown,NON_PERSONAL_PRODUCT,https://www.onlinepoundstore.co.uk/product/molton-brown-healthy-ziao-jao-hairwash-50ml/,"Molton Brown Healthy Ziao Jao is documented as Hairwash; Shobi converted its scent into EDP but the source product is not a personal fragrance."
313-MOL,thai vert molton brown,NON_PERSONAL_PRODUCT,https://www.heldenlounge.de/Molton-Brown-Lime-Patchouli-Hand-Wash/MOB-THW,"Thai Vert is documented as the former name of Molton Brown Lime & Patchouli Hand Wash; no standalone personal-perfume ID should be forced."
311-MOL,amber cocoon-mol,NON_PERSONAL_PRODUCT,https://www.moltonbrown.co.uk/store/exclusive-offers/amber-cocoon-fine-liquid-hand-wash/WBB1535,"Official Molton Brown page documents Amber Cocoon as Fine Liquid Hand Wash/hand-care scent; no matching standalone perfume page has been established."
1156-HER,1156 her mix 137 kur,LAYERED_SHOBI_PRODUCT,https://leparfum.com.gr/en/layered-perfumes/1156-her-mix-137-kur,"Shobi source URL itself identifies this as a layered mix; it cannot map honestly to one Fragrantica perfume."
1065-CHA,1065 cha mix 1181 gul,LAYERED_SHOBI_PRODUCT,https://leparfum.com.gr/en/layered-perfumes/1065-cha-mix-1181-gul,"Shobi source URL itself identifies this as a layered mix; it cannot map honestly to one Fragrantica perfume."
200-CIR,200 cir el,NON_PERSONAL_FRAGRANCE,https://trudon.com/us_en/candles-and-home/collections/ernesto-collection.html,"Shobi source resolves 200-CIR to Ernesto by Cire Trudon; Ernesto is a candle/home-fragrance collection. Later perfume Carmen must not be substituted."
