shobi_code,inspired_by,resolution,evidence,note
2701-DIP,Cafe Verlet,NON_PERSONAL_FRAGRANCE,https://verlet.fr/en/blogs/news/verlet-x-diptyque,"Official Verlet x Diptyque collaboration identifies Cafe as a scented candle; no personal-perfume Fragrantica ID should be forced."
2586-DIP,Biscuit DIP,NON_PERSONAL_FRAGRANCE,https://verlet.fr/en/blogs/news/verlet-x-diptyque,"Official Verlet x Diptyque collaboration identifies Biscuit as a scented candle; no personal-perfume Fragrantica ID should be forced."
230-DIP,OPOPANAX,NON_PERSONAL_FRAGRANCE,https://www.fragrantica.com/board/viewtopic.php?id=238885,"Fragrantica discussion explicitly identifies Diptyque Opopanax as a candle/home scent."
228-DIP,FEUILLE DE LAVANDE,NON_PERSONAL_FRAGRANCE,https://www.fragrantica.com/board/viewtopic.php?id=247022,"Fragrantica candle/home-fragrance discussion lists Diptyque Feuille de Lavande among candles."
227-DIP,FEU DE BOIS / WOOD FIRE,NON_PERSONAL_FRAGRANCE,https://www.fragrantica.com/board/viewtopic.php?id=84835,"Fragrantica discussion explicitly states Feu de Bois exists as candle/home fragrance rather than personal perfume."
223-DIP,BAIES,NON_PERSONAL_FRAGRANCE,https://www.fragrantica.com/board/viewtopic.php?id=293898,"Fragrantica discussion identifies Baies as a Diptyque candle; L'Ombre Dans L'Eau is similar but must not be substituted."
1748-BYR,Marijuana,INVALID_BRAND_REFERENCE,https://www.fragrantica.com/news/How-They-Counterfeit-Niche-Perfumes-11278.html,"Fragrantica investigated Marijuana Byredo and reports that it has nothing to do with Byredo and is a counterfeit-market product. Do not assign a Byredo Fragrantica ID."
381-YAN,fresh cut roses yankee candles dupe,NON_PERSONAL_FRAGRANCE,https://www.yankeecandle.it/yankee-candle/acquista-per/acquista-per-nome-della-fragranza-a-z/fresh-cut-roses/,"Official Yankee Candle page confirms Fresh Cut Roses is sold as candles/home fragrance."
1156-HER,1156 her mix 137 kur,LAYERED_SHOBI_PRODUCT,https://leparfum.com.gr/en/layered-perfumes/1156-her-mix-137-kur,"Shobi source URL itself identifies this as a layered mix; it cannot map honestly to one Fragrantica perfume."
1065-CHA,1065 cha mix 1181 gul,LAYERED_SHOBI_PRODUCT,https://leparfum.com.gr/en/layered-perfumes/1065-cha-mix-1181-gul,"Shobi source URL itself identifies this as a layered mix; it cannot map honestly to one Fragrantica perfume."
2085-CLIV,X NEROLI LIMITED EDITION - CLIVE CHRISTIAN,REAL_FRAGRANCE_MISSING_FRAGRANTICA_PAGE,https://www.clivechristian.com/blogs/new-collection-launch/a-blossoming-story,"Official Clive Christian source confirms X Neroli Limited Edition is a genuine 2020 perfume; Fragrantica forum records a later request to add the missing fragrance, so no fabricated ID should be assigned."
